	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00019001960754","2.69483546588845E-10","4.60147884950857E-06","-8.26216959431969E-12"
"2","0.143376","1.00018882751465","2.68075089904229E-10","5.6743624554656E-06","-8.17234561273361E-12"
"3","0.286751","1.00019025802612","2.60954979847128E-10","5.45978537047631E-06","-6.69795295615838E-12"
"4","0.430126","1.00018763542175","2.47730003177793E-10","3.14712519866589E-06","-1.05446814474552E-11"
"5","0.573501","1.00018811225891","2.49194137547093E-10","3.64780430572864E-06","-2.09674604068066E-11"
"6","0.716876","1.0001859664917","2.51288295727292E-10","4.2676924749685E-06","-2.79666199053119E-12"
"7","0.860251","1.00018715858459","2.52412063472818E-10","3.45706939697266E-06","-9.59844616982286E-12"
"8","1.003626","1.00018715858459","2.50769016663099E-10","3.7431716464198E-06","-1.94331408603921E-11"
"9","1.147","1.00018954277039","2.50142323521274E-10","6.5803528741526E-06","-2.0585763996217E-11"
"10","1.290375","1.00019121170044","2.51552223495821E-10","6.05583181823022E-06","-1.32210613984496E-11"
"11","1.433749","1.00019216537476","2.59897214860416E-10","4.31537637268775E-06","-3.23815345197598E-12"
"12","1.577124","1.00019454956055","2.59799126656191E-10","3.12328347717994E-06","-3.35173620628904E-12"
"13","1.720499","1.00019288063049","2.61791588407334E-10","4.19616708313697E-06","2.99783938992326E-12"
"14","1.863874","1.00019192695618","2.61109356358702E-10","3.02791590911511E-06","3.02028665749229E-13"
"15","2.007249","1.00018930435181","2.58798593666398E-10","4.72068813905935E-06","-5.55992121645862E-14"
"16","2.150624","1.00018906593323","2.5244009660419E-10","8.1300740930601E-06","-1.2156367492494E-12"
"17","2.294","1.00018811225891","2.52037640757763E-10","1.27315524878213E-05","-5.05987396079433E-12"
"18","2.437375","1.00018930435181","2.56386523123098E-10","1.08242038550088E-05","-5.28535852237222E-12"
"19","2.58075","1.00018835067749","2.65225175155592E-10","1.25646593005513E-05","-5.36479975027371E-12"
"20","2.724125","1.00018858909607","2.73228523139935E-10","1.05857852759073E-05","-6.87443027849732E-12"
"21","2.8675","1.00018978118896","2.73863431932142E-10","7.24792471373803E-06","-4.66239460233941E-12"
"22","3.010875","1.0001916885376","2.76709322122315E-10","6.7710875555349E-06","-3.88450643179494E-12"
"23","3.154251","1.0001904964447","2.79155365490169E-10","8.20159948489163E-06","-6.56290083042577E-12"
"24","3.297627","1.00018882751465","2.76054623604693E-10","8.58306884765625E-06","-5.82228926529482E-12"
"25","3.441002","1.00018882751465","2.7405583358231E-10","1.07288360595703E-05","-6.62249335231513E-12"
"26","3.584377","1.00018715858459","2.81518447442508E-10","1.04665759863565E-05","-1.558505234589E-11"
"27","3.727752","1.00019001960754","2.89511442597146E-10","1.1277198609605E-05","-9.35186129924492E-12"
"28","3.871127","1.00019097328186","2.83015472168913E-10","8.72612054081401E-06","-1.4912271070755E-11"
"29","4.014502","1.00018954277039","2.85971635261006E-10","8.535384949937E-06","-1.27828954019082E-11"
"30","4.157877","1.00018692016602","2.80587664214238E-10","8.91685522219632E-06","-1.32198097954617E-11"
"31","4.301252","1.00018453598022","2.83333773110073E-10","1.10149385363911E-05","-8.01208058232028E-12"
"32","4.444627","1.00018525123596","2.83917667154299E-10","1.12056732177734E-05","-1.14253164221201E-11"
"33","4.588002","1.0001859664917","2.8934776796774E-10","1.14202503027627E-05","-5.37812719705877E-12"
