	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00018215179443","1.16535425753739E-09","1.28507617773721E-05","1.60022971436302E-12"
"2","0.143375","1.00018429756165","1.12223386139476E-09","1.40428546728799E-05","-5.07738599428431E-12"
"3","0.28675","1.00018501281738","1.14530440686877E-09","1.39713292810484E-05","-2.08144200659899E-12"
"4","0.430126","1.00018358230591","1.15772480491216E-09","1.40190122692729E-05","-2.08555343134131E-11"
"5","0.573501","1.00018334388733","1.16464016208795E-09","1.56402584252646E-05","-2.19099165893466E-11"
"6","0.716877","1.0001814365387","1.17479803662945E-09","1.43289571497007E-05","-4.82596775042143E-11"
"7","0.860252","1.00017905235291","1.15159515257091E-09","1.23977661132813E-05","-2.17324613166481E-11"
"8","1.003627","1.00017929077148","1.20145082771472E-09","8.6307527453755E-06","-2.34628202283593E-11"
"9","1.147002","1.00017929077148","1.17741461025389E-09","7.27176666259766E-06","-2.28213437730718E-11"
"10","1.290377","1.00017952919006","1.15292908553499E-09","8.86917132447707E-06","-2.54987368025761E-11"
"11","1.433753","1.00017976760864","1.21126653152004E-09","7.55786913941847E-06","-3.97111406258421E-11"
"12","1.577128","1.00018215179443","1.20636822753539E-09","6.50882748232107E-06","-5.55167925520017E-11"
