	Common Settings,	
	.Source/Sweep Points,	50000
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	0
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00019431114197","2.27071765834808E-08","3.69548797607422E-06","6.92834851989677E-12"
"2","0.776954","1.00019264221191","2.34297274914752E-08","7.39097595214844E-06","5.4516079150968E-12"
"3","0.920329","1.00019288063049","2.2889256712233E-08","8.74996203492628E-06","8.06959880861324E-12"
"4","1.063704","1.00019383430481","2.2869491189681E-08","1.02281574072549E-05","1.04791999730458E-11"
"5","1.207079","1.00019431114197","2.31833094943568E-08","1.03473666968057E-05","4.39047832378331E-13"
"6","1.350454","1.00019693374634","2.32792860543896E-08","9.46521777223097E-06","4.05163749772619E-12"
"7","1.493829","1.00019478797913","2.36599451142183E-08","1.10149385363911E-05","5.48990974208463E-12"
"8","1.637204","1.00019264221191","2.3399854498507E-08","8.74996203492628E-06","-1.49613030298035E-11"
"9","1.780579","1.00019001960754","2.31967813846268E-08","5.03063210999244E-06","6.76929974748053E-13"
"10","1.923955","1.00018858909607","2.27731469237824E-08","5.43594387636404E-06","3.57114077892406E-12"
"11","2.067329","1.00018692016602","2.34561685630297E-08","6.31809234619141E-06","-1.78987987625723E-12"
"12","2.210704","1.00018739700317","2.32262262755967E-08","6.43730163574219E-06","9.57231516274248E-12"
"13","2.354079","1.00018668174744","2.33151311590518E-08","4.76837158203125E-06","4.08570790047524E-12"
"14","2.497455","1.00018739700317","2.31236700898307E-08","4.91142282044166E-06","-5.12092104831829E-12"
"15","2.64083","1.00018954277039","2.31666206218506E-08","3.76701359527942E-06","2.68423548362498E-13"
"16","2.784205","1.00019383430481","2.30052954464099E-08","5.98430642639869E-06","-2.10368641994155E-13"
"17","2.92758","1.00019240379333","2.30710632820319E-08","5.269050689094E-06","-5.82004800256386E-12"
"18","3.070955","1.00019335746765","2.30838903547692E-08","6.22272500550025E-06","6.64484526430309E-12"
"19","3.21433","1.00019431114197","2.31119159366244E-08","4.60147884950857E-06","2.5507569147154E-12"
"20","3.357705","1.0001962184906","2.32541079725479E-08","5.41210192750441E-06","7.46488591427119E-13"
"21","3.501081","1.00019574165344","2.34871873061593E-08","3.83853921448463E-06","3.52702155675955E-12"
"22","3.644456","1.00019550323486","2.37566002425638E-08","2.90870661956433E-06","-7.28350886547435E-12"
"23","3.787831","1.00019192695618","2.41247057886085E-08","3.14712519866589E-06","-1.49920943715021E-11"
"24","3.931206","1.00019216537476","2.40509390181387E-08","5.55515316591482E-06","-7.20030068554478E-12"
"25","4.074581","1.00019264221191","2.3989404240865E-08","1.52587892898737E-06","-1.77369004900063E-11"
"26","4.217956","1.00019192695618","2.41479156670721E-08","1.52587892898737E-06","-1.71625855888147E-11"
"27","4.361331","1.00019288063049","2.38132606966701E-08","2.12192549042811E-06","-4.81536381949366E-12"
"28","4.504706","1.00019264221191","2.37982398232361E-08","1.78813934326172E-06","-8.47732994913031E-12"
"29","4.648081","1.00019288063049","2.34303350055143E-08","1.02519993561145E-06","3.27502499945787E-12"
"30","4.791456","1.00019097328186","2.32944259437318E-08","5.96046447753906E-07","6.77995680431476E-12"
"31","4.934831","1.00018906593323","2.37255584067952E-08","4.38690176451928E-06","-1.61870722988761E-12"
"32","5.078206","1.00019216537476","2.36496333627656E-08","5.38825997864478E-06","-1.03919509716194E-12"
"33","5.221581","1.00019240379333","2.38776678429531E-08","3.67164625458827E-06","2.78693561284182E-11"
"34","5.364956","1.00019335746765","2.36905108863539E-08","3.07559980683436E-06","9.10913965784799E-12"
"35","5.508331","1.00019526481628","2.37433557259692E-08","4.14848318541772E-06","4.66727004266865E-12"
"36","5.651706","1.00019407272339","2.38362076743215E-08","4.02927389586694E-06","3.44399227018843E-12"
"37","5.795081","1.00019431114197","2.46919036328563E-08","4.50611105407006E-06","-1.54250154316138E-11"
"38","5.938456","1.00019502639771","2.37144472947648E-08","4.91142282044166E-06","-1.05940109115799E-11"
"39","6.081832","1.00019526481628","2.33265513571723E-08","4.57763690064894E-06","-1.84896473132135E-11"
"40","6.225207","1.00019431114197","2.36795312247295E-08","2.28881845032447E-06","-2.02648158670327E-11"
"41","6.368582","1.00019311904907","2.40286119890243E-08","3.69548797607422E-06","-4.54078918563083E-12"
"42","6.511957","1.00019526481628","2.38167281452206E-08","7.48634329283959E-06","-5.81126206183891E-12"
"43","6.655333","1.00019860267639","2.40863915479395E-08","6.46114358460181E-06","-3.15339573030149E-12"
"44","6.798708","1.00019884109497","2.39877699925728E-08","6.89029684508569E-06","-1.02080106520464E-11"
"45","6.942083","1.00020003318787","2.40474946622271E-08","7.00950613463647E-06","-1.45371796198002E-11"
"46","7.085458","1.00020289421082","2.4202490678249E-08","8.74996203492628E-06","-3.2463611659983E-11"
"47","7.228833","1.00020265579224","2.38978739020013E-08","9.39369238039944E-06","-2.47910025841236E-11"
"48","7.372208","1.00020337104797","2.37841248917903E-08","7.74860382080078E-06","-2.30956677393923E-11"
"49","7.515583","1.0002019405365","2.40164759190975E-08","7.60555258239037E-06","-1.04206322390499E-11"
"50","7.658958","1.0002007484436","2.47969875744047E-08","8.77380352903856E-06","-1.52456768997417E-13"
"51","7.802333","1.00019812583923","2.48366962551927E-08","7.82012921263231E-06","-1.30992890146064E-11"
"52","7.945708","1.00019931793213","2.46377940271714E-08","9.01222210814012E-06","-1.83751711763103E-11"
"53","8.089083","1.0002019405365","2.44758844303306E-08","8.15391558717238E-06","-1.20427010377733E-11"
"54","8.232459","1.00020051002502","2.48830804849831E-08","6.34193429505103E-06","-9.0388417237075E-12"
"55","8.375834","1.00019812583923","2.48001938984999E-08","5.17368334840285E-06","-2.51878032320185E-11"
"56","8.519209","1.00019836425781","2.43196964788694E-08","6.175041107781E-06","-3.18554765899037E-11"
"57","8.662584","1.00019884109497","2.44492532885943E-08","6.50882748232107E-06","-4.52187662314252E-11"
"58","8.805959","1.00019812583923","2.43329765226008E-08","4.2676924749685E-06","-3.17386880666071E-11"
"59","8.949334","1.00019931793213","2.37084041287972E-08","3.57627868652344E-06","-3.04299849207545E-11"
"60","9.092709","1.00019907951355","2.44946125604883E-08","3.83853921448463E-06","-3.22999717250472E-11"
"61","9.236084","1.00019979476929","2.38276118835756E-08","4.10079974244582E-06","-3.32660322899248E-11"
"62","9.379459","1.00020003318787","2.41059314731729E-08","2.55107875091198E-06","-1.46744959933498E-11"
"63","9.522834","1.00019931793213","2.37984778550526E-08","3.40938572662708E-06","-3.30361744904639E-11"
"64","9.666209","1.00020027160645","2.3797809944881E-08","9.77516151579039E-07","-4.98247276770059E-11"
"65","9.809584","1.00019907951355","2.43063578153624E-08","1.04904177078424E-06","-2.54536756255641E-11"
"66","9.952959","1.00019907951355","2.37770798605652E-08","3.93390655517578E-06","-3.13011040697919E-11"
"67","10.096335","1.00019764900208","2.3426842687968E-08","5.12599945068359E-06","-3.59302657071403E-11"
"68","10.23971","1.00019693374634","2.34443433555498E-08","4.72068813905935E-06","-3.30586912011821E-11"
"69","10.383085","1.00019598007202","2.32179289127998E-08","4.88758087158203E-06","-1.93637970241634E-11"
"70","10.52646","1.0001962184906","2.31026771047027E-08","6.22272500550025E-06","-1.90276752687346E-11"
"71","10.669835","1.00019431114197","2.32667574096013E-08","4.52995300292969E-06","-1.91213971739712E-11"
"72","10.81321","1.00019383430481","2.33890062872888E-08","4.93526476930128E-06","-1.57576555970262E-11"
"73","10.956584","1.00019216537476","2.34946604393826E-08","4.14848318541772E-06","-1.62692550403909E-11"
"74","11.099959","1.00019001960754","2.33447430275646E-08","5.76972979615675E-06","-2.55309939856119E-11"
"75","11.243334","1.00019288063049","2.33642580838023E-08","6.55651092529297E-06","-3.17110435132939E-11"
"76","11.386709","1.00019359588623","2.29203465096361E-08","8.24928338261088E-06","-7.93751522842889E-12"
"77","11.530084","1.00019216537476","2.24010356930648E-08","6.53266897643334E-06","-4.20260424767796E-13"
"78","11.673459","1.00019288063049","2.31581331888719E-08","6.2704089032195E-06","-1.27059820997921E-11"
"79","11.816834","1.00019025802612","2.2732436377737E-08","7.34329250917654E-06","-2.72523171564176E-12"
"80","11.960211","1.00019025802612","2.25270984088866E-08","6.36577624391066E-06","-1.01897960555486E-11"
"81","12.103586","1.00019121170044","2.2701621915644E-08","3.71932992493385E-06","-8.4534289290783E-12"
"82","12.246961","1.00018882751465","2.30521450816923E-08","4.52995294608627E-07","3.51375352425354E-12"
"83","12.390336","1.00018882751465","2.30452545935123E-08","-5.4836272056491E-07","-7.47973905035337E-12"
"84","12.533711","1.00018930435181","2.33636612279042E-08","2.69412998932239E-06","-7.63887217369863E-12"
"85","12.677086","1.00018882751465","2.3329519649451E-08","3.26633448821667E-06","8.73931656208971E-12"
"86","12.820461","1.0001904964447","2.34647394847798E-08","4.76837158203125E-06","-1.00468635147455E-11"
"87","12.963836","1.00018978118896","2.32766037555621E-08","4.55379495178931E-06","-1.39466285742351E-11"
"88","13.107211","1.00019335746765","2.32231265329119E-08","5.19752529726247E-06","-8.22794469276106E-13"
"89","13.250586","1.00019264221191","2.37089281540648E-08","7.31945056031691E-06","-2.18455787313887E-12"
"90","13.393961","1.00019240379333","2.37626913701661E-08","9.60826855589403E-06","-1.49419192296829E-11"
"91","13.537337","1.00019311904907","2.34750032745978E-08","7.51018524169922E-06","3.83288886740552E-12"
"92","13.680712","1.00019216537476","2.34964492307199E-08","7.67707842896925E-06","-8.25222702671713E-12"
"93","13.824087","1.00019478797913","2.36094113148511E-08","4.79221353089088E-06","-1.78960568152781E-12"
"94","13.967462","1.00019645690918","2.38039614686159E-08","5.57899466002709E-06","-1.26422049911978E-11"
"95","14.110838","1.00019884109497","2.39279867031428E-08","5.10215750182397E-06","-6.71166204210816E-12"
"96","14.254213","1.00019931793213","2.32565522395589E-08","3.14712519866589E-06","-2.29821925379348E-11"
"97","14.397588","1.00019860267639","2.3059094189648E-08","1.52587892898737E-06","-1.99766158476278E-12"
"98","14.540964","1.00019979476929","2.30245831289722E-08","6.67572010115691E-07","-1.60469658394558E-11"
"99","14.684339","1.00020146369934","2.35075123811157E-08","-9.29832481233461E-07","-2.71629940762352E-11"
"100","14.827714","1.00019884109497","2.32420322987537E-08","-1.26361851471302E-06","5.25796420292046E-13"
"101","14.971089","1.00019979476929","2.32837553681975E-08","-1.9073486328125E-06","-2.01421501005994E-11"
"102","15.114465","1.00019812583923","2.32493277962931E-08","-2.31266017181042E-06","-6.29693259340813E-12"
"103","15.25784","1.00020051002502","2.31874466294357E-08","-3.45706939697266E-06","-9.31727893623002E-13"
"104","15.401215","1.00020265579224","2.36339818826536E-08","-3.52859501617786E-06","-9.63361248412786E-12"
"105","15.54459","1.00020170211792","2.2817969735911E-08","-4.00543240175466E-06","-7.21993471952675E-12"
"106","15.687965","1.00020098686218","2.31737136147103E-08","-2.33650212067005E-06","-1.3381266580903E-11"
"107","15.83134","1.00019979476929","2.32690808843472E-08","-3.05175785797474E-06","-1.49832247303694E-11"
"108","15.974715","1.00019955635071","2.26751097898159E-08","-2.93254856842395E-06","-1.66245576332935E-11"
"109","16.11809","1.00020003318787","2.22517382297838E-08","-2.62260437011719E-06","-2.96705264524189E-11"
"110","16.261465","1.00020122528076","2.23548415334562E-08","-3.98159045289503E-06","-1.92292692186014E-11"
"111","16.40484","1.00020146369934","2.26102585543231E-08","-5.74588784729713E-06","-3.48763466023749E-12"
"112","16.548215","1.00020122528076","2.28759642340037E-08","-7.29560861145728E-06","-1.46925804855869E-11"
"113","16.69159","1.00020384788513","2.31832029129464E-08","-7.46250179872732E-06","-2.35324867231546E-11"
"114","16.834965","1.00020337104797","2.28445884431494E-08","-5.76972979615675E-06","-1.99470162609572E-11"
"115","16.97834","1.00020289421082","2.22465512678127E-08","-2.33650212067005E-06","-1.48327582855101E-11"
