	Common Settings,	
	.Source/Sweep Points,	101
	.Repeat,	0
	.Source to Measure Delay,	0.01
	.Measure Window,	133.333 ms
	.NPLC,	8
	.Channel,	drain
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Bias
	...Range,	Auto
	...Bias Level,	1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	gate
	..Instrument,	My 2636B
	...Model,	2636B
	...Serial Number,	4407529
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Enabled
	...Range,	Auto
	...Start,	-5
	...Stop,	5
	...Step,	0.1
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-10
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","drain Time (s)","drain Voltage (V)","drain Current (A)","gate Voltage (V)","gate Current (A)"
"1","0","1.00020718574524","7.08913830416158E-13","-5.0031566619873","-1.52636534522799E-08"
"2","0.143375","1.00020861625671","-2.14068888483576E-12","-4.90289688110352","-9.66322399875708E-09"
"3","0.465429","1.00020599365234","-2.59443530027659E-12","-4.80302572250366","-8.7856157904298E-09"
"4","0.608804","1.00020503997803","-3.5077095308228E-12","-4.70276832580566","-8.22564949487514E-09"
"5","0.752179","1.00020503997803","-3.88071562731906E-12","-4.60285425186157","-7.68453123356494E-09"
"6","0.895554","1.00020599365234","-4.04728637756757E-12","-4.50265645980835","-7.27834459368637E-09"
"7","1.038929","1.00020670890808","-4.12696612994701E-12","-4.40275430679321","-6.79477585308064E-09"
"8","1.182304","1.00020742416382","-4.17358899176823E-12","-4.30279493331909","-6.31409280416051E-09"
"9","1.325679","1.00020909309387","-4.21432246738851E-12","-4.20258283615112","-5.94476201598582E-09"
"10","1.469054","1.00020956993103","-4.24560300110732E-12","-4.10268068313599","-5.5622293437807E-09"
"11","1.612429","1.00021028518677","-4.28292774509731E-12","-4.00243759155273","-5.15687226254613E-09"
"12","1.755804","1.00020909309387","-4.30092810324578E-12","-3.90255212783813","-4.85402829042414E-09"
"13","1.899179","1.00020718574524","-4.34088702483404E-12","-3.80234241485596","-4.43417658146927E-09"
"14","2.042554","1.00020790100098","-4.31627043134819E-12","-3.70241641998291","-4.13932665921379E-09"
"15","2.185929","1.00020933151245","-4.32306534320359E-12","-3.60214948654175","-3.84282694554372E-09"
"16","2.329304","1.00020956993103","-4.31505439019153E-12","-3.50226879119873","-3.48294615371003E-09"
"17","2.472679","1.00021004676819","-4.32587863100076E-12","-3.40234994888306","-3.1933056199307E-09"
"18","2.616054","1.00021004676819","-4.34087531545058E-12","-3.30211162567139","-2.95886626311415E-09"
"19","2.759429","1.00020718574524","-4.33527215862317E-12","-3.20220708847046","-2.63814214918057E-09"
"20","2.902804","1.0002076625824","-4.36371555209702E-12","-3.10198307037354","-2.37333419583763E-09"
"21","3.046179","1.00020670890808","-4.35423875774776E-12","-3.00203800201416","-2.07028860721437E-09"
"22","3.189554","1.00020694732666","-4.36147472304693E-12","-2.90187835693359","-1.80963877216556E-09"
"23","3.332929","1.00020742416382","-4.37320492319149E-12","-2.80194044113159","-1.55301804749541E-09"
"24","3.476304","1.00020742416382","-4.37109463208296E-12","-2.70168781280518","-1.29288080241707E-09"
"25","3.619679","1.00020813941956","-4.35782659957695E-12","-2.60181427001953","-1.05754616175346E-09"
"26","3.763054","1.00020933151245","-4.35974607110312E-12","-2.5019097328186","-1.87365412074314E-09"
"27","4.71874","1.0002064704895","-2.68418794135972E-12","-2.40163087844849","-1.09158515559926E-09"
"28","4.862115","1.00020670890808","-3.68040797490976E-12","-2.30175733566284","-1.60533786264239E-09"
"29","5.817798","1.00020241737366","-2.68021824352538E-12","-2.20156669616699","-1.51870849229852E-09"
"30","6.773617","1.00020170211792","-2.64059303936581E-12","-2.10157871246338","-1.35804179013377E-09"
"31","7.729319","1.00020527839661","-2.64279852342508E-12","-2.00089859962463","-1.23135091012472E-09"
"32","8.685011","1.00020551681519","-2.63097291348935E-12","-1.90088224411011","-1.14269371742637E-09"
"33","9.640736","1.00020122528076","-2.63478757041302E-12","-1.80085182189941","-9.00645225065944E-10"
"34","10.417801","1.0002019405365","-2.6348949064281E-12","-1.70079708099365","-3.88506532500443E-10"
"35","10.561176","1.00019979476929","-3.64685061662873E-12","-1.60078144073486","-6.43612274586758E-10"
