wavelength_arr,power_percentage_arr,power_arr
400.0,282.86187846779626,0.0
410.0,235.86939220336842,0.0
420.0,197.15112769998672,0.0
430.0,165.2501978849875,0.0
440.0,138.96623768907992,0.0
450.0,117.31023682683448,0.0
460.0,99.46732541432233,0.0
470.0,84.76611212476274,0.0
480.0,72.65342114129645,0.0
490.0,62.67347731141268,0.0
500.0,54.45075628405493,0.0
510.0,47.675854316040656,0.0
520.0,42.09384605825196,0.0
530.0,37.494692249513704,0.0
540.0,33.705336379801864,0.0
550.0,30.583192936797722,0.0
560.0,28.010782212165793,0.0
570.0,25.89130978657019,0.0
580.0,24.14502435872396,0.0
590.0,22.706216871218604,0.0
600.0,21.520748016533894,0.0
610.0,20.5440110884657,0.0
620.0,19.739253525344566,0.0
630.0,19.076193988237087,0.0
640.0,18.52988293768408,0.0
650.0,18.079763834868206,0.0
660.0,17.7088996421804,0.0
670.0,17.40333551802404,0.0
680.0,17.15157372539921,0.0
690.0,16.944140996178568,0.0
700.0,16.77323207190012,0.0
