drain Time (s),drain Current (A)
0.0,1.2272107774435902e-09
0.77688,1.31521227242359e-09
0.920255,1.33303046379041e-09
1.06363,1.3529301012837901e-09
1.207005,1.3650727215264202e-09
1.350381,1.3421798117363402e-09
1.493756,1.3455855318866801e-09
1.637131,1.3854384306455402e-09
1.780506,1.34024147335765e-09
1.923881,1.3323331327086401e-09
2.067256,1.3570081724978402e-09
2.210631,1.40313149987747e-09
2.354006,1.4672041359631302e-09
2.497382,1.49438739160956e-09
2.640757,1.46834733261159e-09
2.784132,1.49690981832151e-09
2.927507,1.4820528138059802e-09
3.070882,1.50033707679853e-09
3.214257,1.42549161363803e-09
3.357632,1.3767528228569902e-09
3.501007,1.3725877101578e-09
3.644382,1.4100408618489302e-09
3.787757,1.4315522101071602e-09
3.931132,1.4383220170444102e-09
4.074507,1.4733100295316601e-09
4.217882,1.51226753342115e-09
4.361258,1.4888786870059802e-09
4.504634,1.5150010135300801e-09
4.648009,1.45297529563493e-09
4.791384,1.4622807409381302e-09
4.934759,1.5259933316969e-09
5.078135,1.48615719730572e-09
5.221511,1.4683901872203402e-09
5.364886,1.5111982776261402e-09
5.508261,1.48186807269468e-09
5.651636,1.46251799559849e-09
5.79501,1.4613449339506701e-09
5.938385,1.5437244815785801e-09
6.08176,1.5541898878979102e-09
6.225135,1.6021144411126902e-09
6.36851,1.59333590765698e-09
6.511885,1.5659296082049e-09
6.65526,1.51808021708888e-09
6.798635,1.5622031446227402e-09
6.94201,1.5273582398833702e-09
7.085385,1.5338206260651102e-09
7.22876,1.5900171179694702e-09
7.372135,1.61072255533412e-09
7.51551,1.69776082081796e-09
7.658885,1.6421985993275701e-09
7.80226,1.61589142066987e-09
7.945635,1.55678148150429e-09
8.08901,1.5205442460697302e-09
8.232386,1.5467023217752301e-09
8.375762,1.5780341477977802e-09
8.519137,1.5542935827284102e-09
8.662512,1.5551435694760601e-09
8.805887,1.5466750102888202e-09
8.949262,1.56701207565391e-09
9.092637,1.5943026898668202e-09
9.236012,1.5809988873627402e-09
9.379387,1.5687656729213e-09
9.522762,1.6338645991709202e-09
9.666136,1.6350399922870902e-09
9.809511,1.6198397068123402e-09
9.952886,1.57245638732206e-09
10.096261,1.6100680788611e-09
10.239637,1.61483881822022e-09
10.383012,1.56900648029534e-09
10.526387,1.5472364500723802e-09
10.669762,1.5669977537768901e-09
10.813137,1.5887510196321802e-09
10.956512,1.58825519402939e-09
11.099887,1.63947577735968e-09
11.243262,1.6179728667964402e-09
11.386637,1.5975749612096e-09
11.530012,1.5947425602291802e-09
11.673387,1.5377652484716e-09
11.816762,1.52720336377143e-09
11.960137,1.5233063699327e-09
12.103512,1.5369403527643e-09
12.246887,1.5346431903040502e-09
12.390262,1.5970503808304701e-09
12.533637,1.58715007803067e-09
12.677012,1.5989219948053801e-09
12.820387,1.5685296395062702e-09
12.963762,1.58362978286419e-09
13.107137,1.58850310683079e-09
13.250512,1.6171586292301801e-09
13.393887,1.6093838484110302e-09
13.537262,1.6403114422303102e-09
13.680637,1.7102169680427402e-09
13.824012,1.69074887423903e-09
13.967388,1.6797947477442701e-09
14.110764,1.6417313064565102e-09
14.254139,1.71529057624298e-09
14.397514,1.6656124257608e-09
14.54089,1.6399085422946802e-09
14.684265,1.6417718295969102e-09
14.827641,1.6736054764265902e-09
14.971016,1.6763878063486e-09
15.114391,1.64668911839527e-09
15.257766,1.6083300247160502e-09
15.401141,1.6164278804353702e-09
15.544516,1.66227454023726e-09
15.687891,1.680274031024e-09
15.831266,1.71089176159711e-09
15.974641,1.7049491818355e-09
16.118017,1.8025553272238401e-09
16.261392,1.6557717419374301e-09
16.404767,1.7076361435997e-09
16.548142,1.6653132206556601e-09
16.691516,1.7313408484653802e-09
16.834891,1.6706370731256501e-09
16.978266,1.6781854794700702e-09
17.121641,1.6229187993488402e-09
17.265016,1.5955055054917e-09
17.408391,1.5592240831807701e-09
17.551767,1.5972602129821201e-09
17.695143,1.60977364771497e-09
17.838518,1.62912483503419e-09
17.981893,1.63084867832453e-09
18.125268,1.57186508253915e-09
18.268643,1.6214501963318602e-09
18.412019,1.6607415442848601e-09
18.555395,1.6649365219834102e-09
18.69877,1.68870328831616e-09
18.842145,1.6782987222185902e-09
18.98552,1.67804359296753e-09
19.128896,1.6422748716493602e-09
19.272272,1.6777479405760701e-09
19.415647,1.7935490870257802e-09
19.559022,1.65199631751989e-09
19.702397,1.66641234145004e-09
19.845772,1.6096639576801402e-09
19.989147,1.6445446116009101e-09
20.132522,1.643958080777e-09
20.275897,1.6913819234076802e-09
20.419272,1.6712319306222401e-09
20.562647,1.7708980948327702e-09
20.706022,1.6880273845387701e-09
20.849397,1.6699385207985502e-09
20.992772,1.74187186896546e-09
21.136148,1.7610954916591502e-09
21.279523,1.7458117174129502e-09
21.422898,1.7313432909560302e-09
21.566273,1.7111646544165602e-09
21.709648,1.7275977315378602e-09
21.853023,1.7499518500940801e-09
21.996399,1.76964642939481e-09
22.139774,1.7800044771476601e-09
22.28315,1.7669320451219102e-09
22.426524,1.7227744786296702e-09
22.569899,1.6684365000685402e-09
22.713274,1.7401480256751302e-09
22.856649,1.7140387997827102e-09
23.000024,1.7772913141200801e-09
23.143399,1.7442548516655202e-09
23.286774,1.6989791795651902e-09
23.430149,1.6999912588744302e-09
23.573524,1.76558734299448e-09
23.716899,1.7817687325560901e-09
23.860275,1.7537021834712602e-09
24.003651,1.7180334932476202e-09
24.147026,1.6288769222327902e-09
24.290401,1.6331827001892e-09
24.433776,1.6569590144399601e-09
24.577151,1.5831851385428302e-09
24.720526,1.6595566032506802e-09
24.863901,1.7697823206930302e-09
25.007276,1.8247484634414902e-09
25.150651,1.7516350592217102e-09
25.294026,1.77241799015349e-09
25.437401,1.7131089879995902e-09
25.580776,1.68767211317089e-09
25.724151,1.7044711198011e-09
25.867526,1.73976777428919e-09
26.010901,1.6449809292495801e-09
26.154276,1.5887879900589e-09
26.297651,1.5791773444462402e-09
26.441026,1.5915214701678302e-09
26.584401,1.61677715659891e-09
26.727777,1.63187618973382e-09
26.871152,1.7093538806634e-09
27.014527,1.6848648032308202e-09
27.157902,1.6686224624251601e-09
27.301277,1.6639828404052502e-09
27.444652,1.65592195511266e-09
27.588027,1.69998282117945e-09
27.731402,1.7115115991117601e-09
27.874777,1.7662036277954501e-09
28.018152,1.6622221377105e-09
28.161526,1.6682958348113202e-09
28.304901,1.6191374907492702e-09
28.448276,1.6602563768231e-09
28.591651,1.6714870598733e-09
28.735026,1.6503834965320202e-09
28.878401,1.6263854707432301e-09
29.021777,1.64285895998262e-09
29.165153,1.6943705327676602e-09
29.308528,1.6323197238321501e-09
29.451903,1.65094848902925e-09
29.595278,1.62193181107995e-09
29.738654,1.6242015510314902e-09
29.882029,1.66261193701445e-09
30.025404,1.6527808011090902e-09
30.168779,1.6230881083600901e-09
30.312154,1.5968072419880702e-09
30.455529,1.61795254971508e-09
30.598905,1.6730224983163601e-09
30.74228,1.7006898112015301e-09
30.885655,1.7129718754560502e-09
31.02903,1.6523551416014501e-09
31.172405,1.6525292245717101e-09
31.31578,1.65868996315766e-09
31.459155,1.6204034780642502e-09
31.60253,1.61227942108155e-09
31.745905,1.60180924080322e-09
31.889281,1.5875065706438801e-09
32.032656,1.5921246543371101e-09
32.176031,1.56792523409166e-09
32.319406,1.5856015389559302e-09
32.462782,1.6267370783751302e-09
32.606157,1.7055619139227902e-09
32.749532,1.6717492945517202e-09
32.892907,1.72293901368192e-09
33.036283,1.6731107610468102e-09
33.179659,1.6278243197831402e-09
33.323034,1.67909142145817e-09
33.466409,1.6623640242130502e-09
33.609784,1.6145730308281302e-09
33.753159,1.5651988594100902e-09
33.896534,1.56802537620848e-09
34.039909,1.5415608789481902e-09
34.183284,1.58315893727945e-09
34.32666,1.60194635334676e-09
34.470036,1.6165780936106e-09
34.613411,1.48442269587434e-09
34.756786,1.47886991541668e-09
34.900161,1.4891969879471402e-09
35.043536,1.58412094553029e-09
35.186911,1.56749957458402e-09
35.330286,1.5905797789983502e-09
35.473661,1.5790653229430501e-09
35.617036,1.53784041057037e-09
35.760412,1.5777325002019901e-09
35.903787,1.5433764266603601e-09
36.047162,1.5805744491004202e-09
36.190537,1.5659356034092302e-09
36.333912,1.5162802124990501e-09
36.477287,1.6057503104960301e-09
36.620662,1.6724837070825102e-09
36.764037,1.5996431956821801e-09
36.907412,1.5444421297417e-09
37.050787,1.5962362542865102e-09
37.194162,1.5852081869383e-09
37.337537,1.5435289713039401e-09
37.480912,1.62834046246729e-09
37.624288,1.6506087607837102e-09
37.767663,1.6960823856493301e-09
37.911038,1.71113845315318e-09
38.054413,1.72233227679897e-09
38.197788,1.7389011341961701e-09
38.341163,1.78328507516312e-09
38.484538,1.6814529768538502e-09
38.627913,1.6422927462400602e-09
38.771288,1.6028117721944601e-09
38.914664,1.57072188589069e-09
39.058039,1.5499067584912e-09
39.201414,1.5342879189361702e-09
39.344789,1.5934443764464802e-09
39.488164,1.5421580679131402e-09
39.631539,1.5844333622894202e-09
39.774914,1.60268787130491e-09
39.918289,1.5669345820867902e-09
40.061664,1.5671240971570902e-09
40.205039,1.5485072113463602e-09
40.348414,1.53221124676861e-09
40.491789,1.5147554321970301e-09
40.635164,1.5593826230286802e-09
40.77854,1.57610058337809e-09
40.921915,1.5543388798278102e-09
41.06529,1.6534947855362202e-09
41.208665,1.66200164741781e-09
41.35204,1.6145003112200102e-09
41.495415,1.5418386567489502e-09
41.638791,1.5721940416213401e-09
41.782166,1.59757251871895e-09
41.925541,1.5825318833151401e-09
42.068916,1.6055786700164301e-09
42.212291,1.6312432515874802e-09
42.355666,1.6398167268505402e-09
42.499041,1.7076789982084502e-09
42.642417,1.6613077580274202e-09
42.785793,1.6671526381628601e-09
42.929168,1.5871440828263402e-09
43.072543,1.6098296029554101e-09
43.215919,1.5923463658751302e-09
43.359295,1.5835189826063402e-09
43.502671,1.6385864887169501e-09
43.646046,1.7057167900347302e-09
43.789421,1.65893199177702e-09
43.932796,1.68565983393876e-09
44.076171,1.6317641682306302e-09
44.219547,1.5675508668877602e-09
44.362922,1.5852439361197e-09
44.506297,1.65762548132165e-09
44.649672,1.6237544642194701e-09
44.793047,1.63193225599656e-09
44.936422,1.6222738707938302e-09
45.079798,1.53465029573141e-09
45.223174,1.57019619528853e-09
45.366549,1.6248571377275301e-09
45.509925,1.6331147545400902e-09
45.6533,1.62436131212473e-09
45.796676,1.6228186572320202e-09
45.940051,1.55720469852128e-09
46.083426,1.5988933510513402e-09
46.226801,1.6183591133867e-09
46.370176,1.57547230816846e-09
46.513552,1.57690638324937e-09
46.656927,1.5949881415622301e-09
46.800302,1.6001546754296202e-09
46.943677,1.6385590662082402e-09
47.087052,1.60879487509646e-09
47.230427,1.5855597945702e-09
47.373802,1.5293287747297801e-09
47.517177,1.5434133970870802e-09
47.660552,1.6081725950911602e-09
47.803927,1.5611028025830402e-09
47.947302,1.5435885902803602e-09
48.090677,1.57037371995017e-09
48.234052,1.59080859596372e-09
48.377427,1.6241610278910901e-09
48.520803,1.5959632504447501e-09
48.664179,1.57075763507208e-09
48.807554,1.5984368273436202e-09
48.950929,1.6277360570526902e-09
49.094304,1.6522133661212e-09
49.237679,1.6380142797700602e-09
49.381054,1.59471513772047e-09
49.524428,1.59205315597433e-09
49.667803,1.5374373996124301e-09
49.811178,1.5670501563036501e-09
49.954553,1.5777862349963801e-09
50.097929,1.57755608576338e-09
50.241305,1.58023116814121e-09
50.38468,1.7245316286107502e-09
50.528055,1.7138814811801202e-09
50.67143,1.6406070946217702e-09
50.814805,1.6322517781830501e-09
50.95818,1.6053867124554701e-09
51.101555,1.6022372317792102e-09
51.24493,1.6051650009174502e-09
51.388305,1.5840101452724302e-09
51.53168,1.5806460584855102e-09
51.675056,1.5811908449237e-09
51.818432,1.5653538465443301e-09
51.961807,1.6202926778063902e-09
52.105183,1.60793656167613e-09
52.248558,1.6016292736509302e-09
52.391933,1.5742075420988e-09
52.535308,1.62513136281461e-09
52.678684,1.67095304259846e-09
52.822059,1.6528654001035602e-09
52.965435,1.60482171995824e-09
53.10881,1.5614914916639602e-09
53.252185,1.57386059740361e-09
53.39556,1.60230162471464e-09
53.538935,1.6294300353436601e-09
53.682311,1.5955138321643901e-09
53.825686,1.5995609281560502e-09
53.969061,1.5833091504546802e-09
54.112436,1.6161751936749602e-09
54.255812,1.5861367774761e-09
54.399187,1.6346597409011602e-09
54.542563,1.61501767514949e-09
54.685938,1.6109955591758802e-09
54.829313,1.58968682661964e-09
54.972689,1.6030919924858701e-09
55.116064,1.5748464754494801e-09
55.893388,1.576682340243e-09
56.670433,1.6056144191978201e-09
56.813808,1.5926587826342602e-09
56.957183,1.6198384855670201e-09
57.100558,1.6026699967142101e-09
57.243933,1.5963649291350601e-09
57.387308,1.6194724450358e-09
