drain Time (s),drain Current (A)
0.0,3.61006974314293e-10
0.321741,3.84519444063258e-10
0.465116,3.86385062833838e-10
0.608491,3.9259073769670703e-10
0.751866,4.01779415293291e-10
0.895242,3.95531885022393e-10
1.038617,3.91336796301545e-10
1.181992,3.96475435815447e-10
1.325367,4.01358363211202e-10
1.468742,3.99707184017828e-10
1.612117,4.0708658666233103e-10
1.755493,4.0201447726318003e-10
1.898868,4.08292871734162e-10
2.042243,4.1227482538985803e-10
2.185618,4.1534994887904004e-10
2.328993,4.09439787629751e-10
2.472368,4.05437211581372e-10
2.615744,4.0391384681370803e-10
2.759119,4.03045291585968e-10
2.902494,4.08296563225719e-10
3.045869,4.05677547110628e-10
3.189244,4.02639727115073e-10
3.332619,3.9914296867671303e-10
3.475995,4.02765626406065e-10
3.61937,3.98549554470051e-10
3.762745,4.04169309131674e-10
3.90612,4.06888245318981e-10
4.049495,4.15199985503989e-10
4.19287,4.2106673703301603e-10
4.336246,4.28235863436655e-10
4.479622,4.26745055959188e-10
4.622998,4.18187012796167e-10
4.766373,4.1370748493641005e-10
4.909748,4.18317908090771e-10
5.053124,4.17809231656463e-10
5.196499,4.33598740245955e-10
5.339874,4.41086389635359e-10
5.48325,4.40887187869166e-10
5.626625,4.3636988467099503e-10
5.770001,4.42704428671448e-10
5.913376,4.52182763455156e-10
6.056751,4.55174425928462e-10
6.200126,4.5626674660681503e-10
6.343502,4.58938109737517e-10
6.486877,4.62299920567233e-10
6.630252,4.66064187243376e-10
6.773627,4.6650799889747e-10
6.917002,4.73193373373704e-10
7.060377,4.73622308039268e-10
7.203752,4.74470129852023e-10
7.347128,4.73119488031415e-10
7.490502,4.69346894682587e-10
7.633877,4.69416228110475e-10
7.777253,4.66780392116561e-10
7.920628,4.62799881750797e-10
8.064003,4.57568621881066e-10
8.207378,4.64401239685941e-10
8.350753,4.78328099351444e-10
8.494128,4.79022266297591e-10
8.637503,4.71434835613849e-10
8.780878,4.74343064826854e-10
8.924254,4.77742900795164e-10
9.067629,4.84837781034031e-10
9.211004,4.785835616694101e-10
9.354379,4.7548803783215e-10
9.497754,4.78784067947657e-10
9.641129,4.79601747205294e-10
9.784504,4.65012167660817e-10
9.92788,4.68011962517778e-10
10.071255,4.6770048944822e-10
10.21463,4.6312151336103103e-10
10.358005,4.47882175791392e-10
10.50138,4.46001985343614e-10
10.644756,4.51432696779719e-10
10.788131,4.57093585204404e-10
10.931506,4.60871202312418e-10
11.074881,4.65983640562939e-10
11.218256,4.73494299324528e-10
11.361631,4.681067200529301e-10
11.505007,4.61940985463372e-10
11.648382,4.52614778989613e-10
11.791757,4.52152121299676e-10
11.935133,4.5009945770502203e-10
12.078508,4.51602089057701e-10
12.221884,4.6244000295736503e-10
12.36526,4.6536646758355005e-10
12.508636,4.6315931645502003e-10
12.652011,4.6339462822508903e-10
12.795386,4.5254813785256e-10
12.938761,4.43497766289269e-10
13.082136,4.5446918450764403e-10
13.225511,4.61609472868219e-10
13.368886,4.51847170790387e-10
13.512261,4.4839226776005603e-10
13.655636,4.42509529019475e-10
13.79901,4.45495723644385e-10
13.942386,4.46533199305321e-10
14.085761,4.47360370969818e-10
14.229136,4.46960662925378e-10
14.372512,4.46277376164872e-10
14.515888,4.44401238031134e-10
14.659264,4.3358480694699603e-10
14.802639,4.32882063527984e-10
14.946014,4.28826807397087e-10
15.089389,4.35210228966199e-10
15.232765,4.46555958877326e-10
15.376141,4.5534906401023503e-10
15.519516,4.62274885038028e-10
15.662891,4.69331018493335e-10
15.806267,4.53663800970006e-10
15.949642,4.440492140656e-10
16.093018,4.38552499870681e-10
16.236393,4.35211394700374e-10
16.379768,4.28997615209425e-10
16.523143,4.33351382556069e-10
16.666518,4.31447128024232e-10
16.809894,4.42189312943597e-10
16.953269,4.62455018723773e-10
17.096644,4.55658899500833e-10
17.240019,4.47685583049307e-10
17.383394,4.51645609800266e-10
17.526769,4.45452091879517e-10
17.670144,4.3482242806369703e-10
17.813519,4.3214021250292903e-10
17.956894,4.24897533823909e-10
18.100269,4.19433571208216e-10
18.243644,4.29292185133434e-10
18.387019,4.3967460228167004e-10
18.530394,4.49454168327534e-10
18.673769,4.50499637594248e-10
18.817144,4.53404758182785e-10
18.96052,4.5453629748948303e-10
19.103895,4.5422993144583803e-10
19.24727,4.68526717423146e-10
19.390645,4.7047638007669e-10
19.53402,4.74218497803491e-10
19.677395,4.62149846169879e-10
19.820771,4.60035787241964e-10
19.964146,4.771628092647971e-10
20.107521,4.72594352540767e-10
20.250897,4.68831640176859e-10
20.394272,4.696247279945e-10
20.537648,4.69864480656668e-10
20.681024,4.70328775925566e-10
20.824399,4.80831263693915e-10
20.967774,4.79866146818608e-10
21.11115,4.817481968899531e-10
21.254525,4.79479789206039e-10
21.3979,4.77792971853574e-10
21.541276,4.79380590778788e-10
21.68465,4.73816152979367e-10
21.828025,4.77164585621637e-10
21.9714,4.780484341715411e-10
22.114775,4.83881434920619e-10
22.25815,4.74884243040208e-10
22.401525,4.54957710394055e-10
22.5449,4.63652588544861e-10
22.688275,4.6549544774343603e-10
22.83165,4.6003054143817203e-10
22.975025,4.67730743025641e-10
23.1184,4.75283257195258e-10
23.261776,4.63962673835638e-10
23.405151,4.61482269065172e-10
23.548526,4.6355783100970903e-10
23.691901,4.53942883282821e-10
23.835276,4.46486458915984e-10
23.978651,4.46921583074911e-10
24.122026,4.53457577043181e-10
24.265401,4.6164130851345006e-10
24.408776,4.66442551250168e-10
24.552151,4.699615141490201e-10
24.695526,4.72529737560734e-10
24.838901,4.67641314561007e-10
24.982276,4.68857064284123e-10
25.125651,4.71647276789611e-10
25.269026,4.85504025871109e-10
25.412401,4.87313633890096e-10
25.555776,4.83538709072917e-10
25.699151,4.88644680274319e-10
25.842526,4.90507245931582e-10
25.985901,4.91262919233293e-10
26.129277,4.93393659262154e-10
26.272653,4.87076046162827e-10
26.416028,4.79401685016256e-10
26.559403,4.80666728641665e-10
26.702778,4.84303708248035e-10
