drain Time (s),drain Current (A)
0.0,1.61861177239153e-10
0.143376,1.61809801668689e-10
0.286751,1.628202156434e-10
0.430126,1.6414392067787302e-10
0.573501,1.65111771477378e-10
0.716876,1.64618485509749e-10
0.860251,1.66159266901111e-10
1.003627,1.68011299317428e-10
1.147002,1.68455832616488e-10
1.290377,1.68499589281446e-10
1.433752,1.68562164226671e-10
1.577127,1.6867875152204401e-10
1.720502,1.69187067133869e-10
1.863877,1.69317601605989e-10
2.007252,1.69802186200663e-10
2.150627,1.69628380786158e-10
2.294002,1.69342637135195e-10
2.437377,1.6959786353076802e-10
2.580752,1.6986798079266001e-10
2.724127,1.69716352083071e-10
2.867502,1.70709724134355e-10
3.010877,1.70715441782932e-10
3.154252,1.72873854120681e-10
3.297627,1.72044267721105e-10
3.441002,1.70319314207745e-10
3.584377,1.6991937024091202e-10
3.727752,1.6940081282168501e-10
3.871127,1.6953050074874901e-10
4.014502,1.70283787070957e-10
4.157877,1.70642139307731e-10
4.301252,1.72130337761089e-10
4.444627,1.73035974437852e-10
4.588002,1.72160383171693e-10
4.731377,1.7214214775851402e-10
4.874753,1.73008080084358e-10
5.018128,1.72591801961275e-10
5.161504,1.73106778911247e-10
5.304879,1.73879619036477e-10
5.448254,1.73681846682427e-10
5.591629,1.7316043043891201e-10
5.735004,1.74009681663811e-10
5.878378,1.74242606454378e-10
6.021753,1.73311587303715e-10
6.165128,1.72652836472054e-10
6.308503,1.74771905281368e-10
6.451878,1.75737258079067e-10
6.595253,1.7583023925738e-10
6.738628,1.76123726713939e-10
6.882004,1.76537395812915e-10
7.025379,1.7822932019129201e-10
7.168754,1.76801559503836e-10
7.312129,1.75456871254198e-10
7.455504,1.74309719436216e-10
7.598879,1.7421948605989002e-10
7.742254,1.73469891229239e-10
7.885629,1.7311929667585001e-10
8.029004,1.7429363508014701e-10
8.172379,1.74878111991461e-10
8.315754,1.73632858091466e-10
8.459129,1.71997902032039e-10
8.602504,1.70775532604139e-10
8.745879,1.70701022761399e-10
8.889254,1.71018352257413e-10
9.032629,1.70840855351351e-10
9.176004,1.70752884054437e-10
9.319379,1.70594691151216e-10
9.462754,1.70907607510706e-10
9.60613,1.70760627860034e-10
9.749505,1.7070161950627502e-10
9.89288,1.70431127544113e-10
10.036256,1.70700897861309e-10
10.179631,1.71883576816079e-10
10.323006,1.72735922787659e-10
10.466381,1.71558142691985e-10
10.609756,1.72582864665927e-10
10.753131,1.71831840423131e-10
10.896506,1.70568698054652e-10
11.039881,1.72090883210352e-10
11.183256,1.73513647894197e-10
11.326631,1.7313360467508002e-10
11.470006,1.72668213060945e-10
11.613381,1.7274331964856101e-10
11.756756,1.72964809141973e-10
11.900131,1.72228814543374e-10
12.043506,1.72046418778216e-10
12.186881,1.7160486920353401e-10
12.330256,1.71067354726162e-10
12.473632,1.7074691660568e-10
12.617008,1.69995545418189e-10
12.760383,1.69937605654091e-10
12.903759,1.69953814910251e-10
13.047134,1.70462130522075e-10
13.190509,1.70408243072018e-10
13.333884,1.6997611651525801e-10
13.477259,1.70611372252161e-10
13.620634,1.72467470860305e-10
13.764009,1.72161812583838e-10
13.907384,1.71571604146159e-10
14.050759,1.71211114730063e-10
14.194134,1.70086375539391e-10
14.337509,1.6892909293631e-10
14.480883,1.68667191324801e-10
14.624259,1.68580413517638e-10
14.767635,1.68558347835024e-10
14.91101,1.69499386748484e-10
15.054385,1.68569921910056e-10
15.19776,1.67957425745158e-10
15.341135,1.69025418661484e-10
15.48451,1.68946981404794e-10
15.627885,1.68896438501598e-10
15.771261,1.69362066038126e-10
15.914636,1.69307221020709e-10
16.05801,1.69281602624416e-10
16.201386,1.69005032191194e-10
16.344761,1.67714717114187e-10
16.488136,1.67700520137259e-10
16.631511,1.69253222548349e-10
16.774886,1.7025160448103102e-10
16.918261,1.70078867656187e-10
17.061636,1.70661082488088e-10
17.205011,1.70888775352651e-10
17.348386,1.70557498679891e-10
17.491761,1.7088352954886e-10
17.635137,1.70914171704339e-10
17.778512,1.70583366876365e-10
17.921888,1.69731853572053e-10
18.065263,1.69913527692245e-10
18.208638,1.70612093897127e-10
18.352013,1.72067762815864e-10
18.495388,1.7055760970219301e-10
18.638763,1.69558048157548e-10
18.782138,1.67902816650134e-10
18.925513,1.6745745068380601e-10
19.068889,1.67898167591218e-10
19.212264,1.68749444973137e-10
19.355639,1.68712252501813e-10
19.499014,1.68530217559137e-10
19.642389,1.67571415077283e-10
19.785764,1.6626953980303202e-10
19.929139,1.6627800525359501e-10
20.072514,1.6728710083846501e-10
20.215889,1.67118430205448e-10
20.359264,1.67115557503372e-10
20.502639,1.67498709346958e-10
20.646014,1.68010702572552e-10
20.789389,1.6989039341996901e-10
20.932765,1.6817151837766902e-10
21.07614,1.67060365541261e-10
21.219515,1.67658081862143e-10
21.36289,1.67012084717477e-10
21.506265,1.6570388117198601e-10
21.64964,1.64888741549518e-10
21.793016,1.6474831221469101e-10
21.936391,1.6465497021389602e-10
22.079766,1.64740915353789e-10
22.223141,1.63923374874031e-10
22.366516,1.65301203280954e-10
22.509891,1.66146041369331e-10
22.653266,1.67073369028437e-10
22.796641,1.6689216675303002e-10
22.940016,1.6530918300894402e-10
23.083391,1.66293145920093e-10
23.226766,1.6528928226122702e-10
23.370142,1.64896124532632e-10
23.513518,1.64487354292753e-10
23.656893,1.64549582293283e-10
23.800269,1.64956451276232e-10
23.943644,1.64579030959011e-10
24.087019,1.64226521270905e-10
24.230394,1.63077232273601e-10
24.37377,1.63118477058966e-10
24.517145,1.63870805813815e-10
24.66052,1.65086028180994e-10
24.803895,1.6498565014178002e-10
24.947271,1.64798369395314e-10
25.090647,1.6407120106976002e-10
25.234022,1.64759872411935e-10
25.377398,1.6502475774782301e-10
25.520773,1.64131638835663e-10
25.664148,1.6361856314262e-10
25.807523,1.63803096087101e-10
25.950898,1.63365598826459e-10
26.094273,1.6315387929566301e-10
26.237649,1.6293799642852502e-10
26.381024,1.61626934058745e-10
26.524399,1.624042983428e-10
26.667773,1.62535776504491e-10
26.811149,1.62880528509213e-10
26.954525,1.6306793415576901e-10
27.0979,1.62986041329916e-10
27.241276,1.62706972894888e-10
27.384651,1.62164920380903e-10
27.528026,1.62732591291181e-10
27.671401,1.62708874151818e-10
27.814776,1.6320872431308001e-10
27.958151,1.62868968311969e-10
28.101527,1.62355531796443e-10
28.244902,1.63027522037673e-10
28.388278,1.61956309474576e-10
28.531653,1.61506169549241e-10
28.675029,1.60892008049807e-10
28.818404,1.5977179301796e-10
28.961779,1.59691565526643e-10
29.105154,1.59525267995342e-10
29.248529,1.59943933097928e-10
29.391904,1.59577365210772e-10
29.535279,1.58877480616049e-10
29.678654,1.59189342263666e-10
29.822029,1.59188981441183e-10
29.965404,1.5874433711982e-10
30.10878,1.57694329816493e-10
30.252155,1.57210466866786e-10
30.395531,1.58619048451492e-10
30.538906,1.59641494468232e-10
30.682281,1.5934348285284702e-10
30.825656,1.59211269168402e-10
30.969032,1.57770865816254e-10
31.112407,1.5599846414637901e-10
31.255782,1.5498423378002002e-10
31.399157,1.55086388176073e-10
31.542532,1.54565207854951e-10
31.685908,1.54637455618278e-10
31.829283,1.5542638009957701e-10
31.972658,1.57125354394161e-10
32.116033,1.56279322816033e-10
32.259408,1.5575014888913302e-10
32.402783,1.55592316808395e-10
32.546158,1.55612342456202e-10
32.689533,1.55227067311081e-10
32.832908,1.55949947400202e-10
32.976284,1.56191587441512e-10
33.119659,1.57051802118779e-10
33.263035,1.57872909190004e-10
33.406411,1.57102941766851e-10
33.549786,1.5709972212008001e-10
33.693161,1.5781104201195701e-10
33.836536,1.58831711671858e-10
33.979911,1.58124555116324e-10
34.123286,1.56915536120295e-10
34.266661,1.55221460684807e-10
34.410036,1.5354871540918e-10
34.553412,1.52513141005173e-10
34.696787,1.52883650184066e-10
34.840162,1.55029059034639e-10
34.983537,1.55658000378089e-10
35.126912,1.56849380705815e-10
35.270287,1.5806876640933601e-10
35.413662,1.57470814166061e-10
35.557037,1.55034540760823e-10
35.700412,1.55562993042757e-10
35.843788,1.55513518729222e-10
35.987163,1.55231591469907e-10
36.130538,1.55337451235305e-10
36.273913,1.53951754122694e-10
36.417287,1.52894974458917e-10
36.560663,1.5248560747416201e-10
36.70404,1.51345838639294e-10
36.847415,1.50927187414496e-10
36.99079,1.52199142178233e-10
37.134165,1.5258895535996702e-10
37.277541,1.52458309865544e-10
37.420917,1.54356236126141e-10
37.564292,1.55298940374138e-10
37.707667,1.55338408802663e-10
37.851043,1.55028809234459e-10
37.994418,1.55752410968546e-10
38.137793,1.56945581530898e-10
38.281168,1.58010243778151e-10
38.424543,1.56587839916789e-10
38.567918,1.55904997245493e-10
38.711293,1.55313373273458e-10
38.854668,1.55503512844213e-10
38.998042,1.550402584094e-10
39.141418,1.53895854393404e-10
39.284794,1.54271720398391e-10
39.42817,1.5300523348305e-10
39.571545,1.51661863623254e-10
39.71492,1.50586834668509e-10
39.858295,1.4977621920486701e-10
40.00167,1.5040349521378002e-10
40.145045,1.49475570809798e-10
40.28842,1.4755188737503002e-10
40.431795,1.46405818024498e-10
40.57517,1.46737691442134e-10
40.718545,1.47435300079657e-10
40.86192,1.47820700124868e-10
41.005295,1.48411505307422e-10
41.14867,1.4791380620327002e-10
41.292045,1.47375930903415e-10
41.43542,1.47869105848741e-10
41.578796,1.483062422869e-10
41.722171,1.47882692203005e-10
41.865546,1.46673673206976e-10
42.008921,1.46619674734616e-10
42.152297,1.46340370377196e-10
42.295672,1.46920087207292e-10
42.439047,1.47675635608913e-10
42.582422,1.4825236871463e-10
42.725797,1.49772041990737e-10
42.869173,1.51078691223994e-10
43.012549,1.50063628190367e-10
43.155925,1.49264087201395e-10
43.2993,1.48050183224058e-10
43.442675,1.47948736595183e-10
43.58605,1.46227238650987e-10
43.729424,1.45449041699663e-10
43.8728,1.46230569320061e-10
44.016175,1.46533243872149e-10
44.159551,1.46249526378206e-10
44.302926,1.45765302606016e-10
44.446302,1.45502207504755e-10
44.589677,1.46921516619436e-10
44.733052,1.47281048468173e-10
44.876427,1.4648246504656002e-10
45.019802,1.45724168842953e-10
45.163177,1.45356657266227e-10
45.306552,1.45149586794346e-10
45.449927,1.45842074528169e-10
45.593302,1.46342743478911e-10
45.736678,1.45059575462625e-10
45.880053,1.43545383912702e-10
46.023428,1.43988362899528e-10
46.166804,1.4394282987773e-10
46.31018,1.44001713331399e-10
46.453555,1.43877618152821e-10
46.59693,1.43929243523466e-10
46.740305,1.44285916547915e-10
46.88368,1.43792144857713e-10
47.027056,1.43127315554992e-10
47.170431,1.42892836452191e-10
47.313806,1.42857906060279e-10
47.457181,1.42103551148409e-10
47.600556,1.4150619565001002e-10
47.743931,1.41087641569726e-10
47.887307,1.40710831875168e-10
48.030682,1.4005029080888001e-10
48.174058,1.4006554249768e-10
48.317434,1.41170145018243e-10
48.460809,1.41267178510596e-10
48.604185,1.41347877846698e-10
48.74756,1.4130925596322902e-10
48.890935,1.4207290899293e-10
49.03431,1.4190471020469901e-10
49.177685,1.43145204023476e-10
49.32106,1.42078043774418e-10
49.464436,1.41570796752255e-10
49.607811,1.40808573134699e-10
49.751187,1.40732758779905e-10
49.894562,1.40053621477954e-10
50.037937,1.39597888804133e-10
50.181312,1.39414313427011e-10
50.324687,1.391072257384e-10
50.468062,1.39132261267605e-10
50.611437,1.3874577875494502e-10
50.754813,1.3801526588253e-10
50.898189,1.38110273217862e-10
51.041564,1.38397335258666e-10
51.184939,1.38834832519308e-10
51.328315,1.39679073862808e-10
51.47169,1.3960993472395002e-10
51.615065,1.39181249858567e-10
51.75844,1.39376760133203e-10
51.901815,1.39371750251804e-10
52.045191,1.39224645701042e-10
52.188567,1.39120340247878e-10
52.331943,1.39111749897225e-10
52.475318,1.3816296717816801e-10
52.618694,1.38148187334153e-10
52.762069,1.37456532267599e-10
52.905444,1.3793670372575e-10
53.048819,1.37871380978538e-10
53.192194,1.38498656987451e-10
53.335569,1.3807284482414401e-10
53.478944,1.37626285368064e-10
53.62232,1.3772165352588e-10
53.765695,1.37130737321023e-10
53.909071,1.36484018531391e-10
54.052446,1.36809230610879e-10
54.195821,1.35685324087476e-10
54.339196,1.36982078458026e-10
54.482571,1.3723981673319201e-10
54.625947,1.37155523050048e-10
54.769322,1.36888972379623e-10
54.912697,1.36564495822888e-10
55.056073,1.36300803976752e-10
55.199448,1.36242864212655e-10
55.342823,1.36243821780013e-10
55.486198,1.37038103087406e-10
55.629573,1.37276162659461e-10
55.772948,1.3685107214112e-10
55.916323,1.36338704215255e-10
56.059699,1.36453626176092e-10
56.203075,1.36811256767899e-10
56.34645,1.36551728258105e-10
56.489825,1.3623738248647002e-10
56.6332,1.3594769754377002e-10
56.776575,1.3616310856612301e-10
56.91995,1.35640970677642e-10
57.063325,1.36126276917281e-10
57.2067,1.36725783472791e-10
57.350075,1.36326783195528e-10
57.49345,1.34731767409413e-10
57.636825,1.33942010260846e-10
57.7802,1.33797875556674e-10
57.923575,1.3328933790024401e-10
58.06695,1.33226277232446e-10
58.210325,1.33369676413864e-10
58.3537,1.3306057644602e-10
58.497075,1.33426311665907e-10
58.64045,1.33466709906216e-10
58.783825,1.32989397272354e-10
58.9272,1.33038996485979e-10
59.070575,1.32664559893136e-10
59.21395,1.3195848580505002e-10
59.357326,1.32826680210307e-10
59.500701,1.3350653915722401e-10
59.644076,1.33633853982573e-10
59.787451,1.3318288138997e-10
59.930827,1.33465169471769e-10
60.074202,1.34101507676121e-10
60.217577,1.34750002822592e-10
60.360952,1.3498759054986201e-10
60.504327,1.35033720316535e-10
60.647702,1.34348393521222e-10
60.791077,1.3365375473029e-10
60.934453,1.33464572726893e-10
61.077828,1.33413904923607e-10
61.221203,1.33104680055673e-10
61.364578,1.32649183304245e-10
61.507953,1.32761954207972e-10
61.651329,1.32414690323657e-10
61.794705,1.31525276780842e-10
61.93808,1.31664151803434e-10
62.081455,1.31530522584633e-10
62.22483,1.31671895609031e-10
62.368205,1.31109595402634e-10
62.51158,1.30973093481757e-10
62.654955,1.31519309332084e-10
62.79833,1.30628702299518e-10
62.941705,1.30463709280271e-10
63.08508,1.30569097200883e-10
63.228455,1.31087182775325e-10
63.37183,1.30206456727677e-10
63.515205,1.29167440632294e-10
63.65858,1.29768251699858e-10
63.801955,1.29799601622516e-10
63.94533,1.29738567111737e-10
64.088706,1.29894248135365e-10
64.232081,1.29367461187968e-10
64.375456,1.28347513173033e-10
64.518831,1.27314325748529e-10
64.662206,1.27421739826161e-10
64.805581,1.27466204258297e-10
64.948956,1.27192728571757e-10
65.092331,1.26677626721694e-10
65.235706,1.2862455545104002e-10
65.379081,2.09303366305313e-10
65.522456,3.02655095429927e-10
65.665831,3.65922209200065e-10
65.809206,4.05747269116574e-10
65.952581,4.37810898645807e-10
66.095956,4.6231160566456703e-10
66.239331,4.83296014319734e-10
66.382706,5.0056514488972e-10
66.526081,5.176433170994701e-10
66.669456,4.83774409421045e-10
66.812831,4.31083918561725e-10
66.956206,3.97961136267e-10
67.099581,3.80211112593898e-10
67.242956,3.64595270641033e-10
67.386331,3.52074147613735e-10
67.529706,3.43448741668695e-10
67.673081,3.37554789675565e-10
67.816457,3.32311511641592e-10
67.959832,3.24898247194838e-10
68.103207,3.20312248947019e-10
68.246582,3.16887488471806e-10
68.389957,3.11754566606481e-10
68.533332,3.07180392233874e-10
68.676707,3.03031794102182e-10
68.820083,2.99681779392102e-10
68.963458,2.95018176554862e-10
69.106834,2.91228291482426e-10
69.250209,2.8780364202951603e-10
69.393584,2.83802731315674e-10
69.536959,2.82736306589371e-10
69.680334,2.80447470801803e-10
69.823709,2.78883915960648e-10
69.967084,3.4376929081148004e-10
70.110459,4.25727952890753e-10
70.253834,4.77239969765009e-10
70.39721,5.11758913024352e-10
70.540585,5.36683197882581e-10
70.683962,5.563220994986301e-10
70.827337,5.72922431718581e-10
70.970713,5.85214487980323e-10
71.114088,6.03881222804858e-10
71.257464,5.71089397993774e-10
71.400839,5.07584918540971e-10
71.544215,4.64478122630396e-10
71.68759,4.38127867319338e-10
71.830965,4.26055191127261e-10
71.97434,4.1256437155468e-10
72.117716,4.03115513192276e-10
72.261091,3.96463972762717e-10
72.404466,3.90447618681122e-10
72.547841,3.81036757701736e-10
72.691216,3.76283754155438e-10
72.834591,3.72201325316013e-10
72.977966,3.68663294336713e-10
73.121341,3.65477065278341e-10
73.264717,3.61568330831119e-10
73.408092,3.57804896822245e-10
73.551468,3.53767154459561e-10
73.694843,3.49705930879907e-10
73.838219,3.47425560542902e-10
73.981595,3.47506745601578e-10
74.12497,3.44582778977198e-10
74.268345,3.41615680188312e-10
74.41172,3.3712624358806e-10
74.555096,3.9596462220181603e-10
74.698471,4.79593753599517e-10
74.841846,5.32625277216425e-10
74.985221,5.68922742250066e-10
75.128596,6.03117833453126e-10
75.27197,6.21244278242727e-10
75.415345,6.39629349485915e-10
75.55872,6.47018882915518e-10
75.702096,6.58402332653907e-10
75.845471,6.287699805263e-10
75.988846,5.64512381284743e-10
76.132221,5.23832421883696e-10
76.275596,4.99099095385702e-10
76.418971,4.78337647269456e-10
76.562346,4.67952621097112e-10
76.705722,4.62002158752028e-10
76.849097,4.54121462656332e-10
76.992472,4.4613454597275403e-10
77.135847,4.39046854427971e-10
77.279223,4.38242886424689e-10
77.422598,4.35443875401731e-10
77.565973,4.29822427649995e-10
77.709348,4.26600338387928e-10
77.852723,4.20217610708207e-10
77.996098,4.1327963273829503e-10
78.139473,4.0686165547754203e-10
78.282848,4.02206296046259e-10
78.426223,3.95890459303772e-10
78.569598,3.87058135542517e-10
78.712974,3.80039083536232e-10
78.856349,3.77754799663066e-10
78.999724,3.75111219863555e-10
79.143099,4.26028240463339e-10
79.286474,5.16996390143021e-10
79.429849,5.73456060415367e-10
79.573225,6.06968753036341e-10
79.716599,6.28454288609248e-10
79.859974,6.45257458575799e-10
80.003349,6.62347066082702e-10
80.146724,6.82576772881305e-10
80.290099,7.04181879473964e-10
80.433475,6.834768861985201e-10
80.57685,6.09992722999664e-10
80.720225,5.61371449325776e-10
80.8636,5.30843979884565e-10
81.006975,5.07585029563273e-10
81.15035,4.92723917222548e-10
