drain Time (s),drain Current (A)
0.0,2.88486492723908e-13
0.143375,2.7879478239900597e-13
0.28675,2.67148011611623e-13
0.430125,2.473115841891e-13
0.5735,2.42924685358789e-13
0.716876,2.45010852968977e-13
0.860251,2.51150147770676e-13
1.003627,2.50256060449136e-13
1.147002,2.35319142644075e-13
1.290378,2.31504431510293e-13
1.433754,2.29585176824559e-13
1.577129,2.16078755365876e-13
1.720504,2.09546098463471e-13
1.863879,2.05445293481425e-13
2.007254,2.0762681667268299e-13
2.15063,1.94883348282777e-13
2.294005,1.95539005994061e-13
2.437381,1.9129515408788199e-13
2.580756,1.92856784687022e-13
2.724131,1.94633006001151e-13
2.867506,1.86014181488559e-13
3.010881,1.7954111504806e-13
3.154256,1.7561912210931099e-13
3.297632,1.80268289445146e-13
3.441007,1.76525122102221e-13
3.584383,1.92785268001219e-13
3.727758,1.90448758109404e-13
3.871133,1.8181800737291499e-13
4.014508,1.82509430203363e-13
4.157883,1.8975734883148299e-13
4.301258,1.89995764889213e-13
4.444633,1.90711026614929e-13
4.588008,1.8770694634046e-13
4.731384,1.83963778997535e-13
4.87476,1.73592572066082e-13
5.018135,1.62160391993689e-13
5.16151,1.59120560152583e-13
5.304885,1.69539458427098e-13
5.44826,1.73008444593128e-13
5.591635,1.84559819141859e-13
5.73501,1.82282926817004e-13
5.878385,1.87885758383757e-13
6.02176,1.80137155192384e-13
6.165135,1.6506910313456e-13
6.30851,1.63853170398118e-13
6.451886,1.77025793112948e-13
6.595261,1.80971624946964e-13
6.738636,1.79088121827868e-13
6.882011,1.74033639062376e-13
7.025386,1.6884803559665e-13
7.168761,1.65355210535352e-13
7.312137,1.58238412607467e-13
7.455512,1.57642372463143e-13
7.598887,1.55389305481028e-13
7.742262,1.57475473091216e-13
7.885638,1.56712533574965e-13
8.029013,1.5674829869413e-13
8.172389,1.46865850102033e-13
8.315764,1.60229211084058e-13
8.459139,1.5097856775545e-13
8.602514,1.46007541452185e-13
8.745889,1.55079372737496e-13
8.889264,1.55162815647196e-13
9.032639,1.4879703101166499e-13
9.176014,1.64639948809636e-13
9.31939,1.56939036961325e-13
9.462765,1.5698671475186e-13
9.60614,1.62112714203154e-13
9.749515,1.57308587271816e-13
9.89289,1.58929821885388e-13
10.036265,1.67620190188837e-13
10.17964,1.62708767900005e-13
10.323016,1.56509882636401e-13
10.466391,1.60169607069625e-13
10.609767,1.5056133965442299e-13
10.753143,1.63352485834864e-13
10.896518,1.68514250405323e-13
11.039893,1.62410734275316e-13
11.183269,1.58488754889094e-13
11.326644,1.45328044845634e-13
11.47002,1.61242492881936e-13
11.613395,1.79910665358551e-13
11.756771,1.71422961546194e-13
11.900146,1.62649150333045e-13
12.043521,1.59704687625536e-13
12.186897,1.34408475560392e-13
12.330272,1.44958494535143e-13
12.473647,1.6176700278793e-13
12.617023,1.64663787704904e-13
12.760398,1.57368191286249e-13
12.903774,1.57499311986484e-13
13.047149,1.51216983813179e-13
13.190524,1.5106201066515e-13
13.333899,1.56998640975757e-13
13.477274,1.4827252110567e-13
13.62065,1.59311298419777e-13
13.764025,1.66046619813273e-13
13.9074,1.62863727495507e-13
14.050775,1.6462803613826599e-13
14.19415,1.58417224650764e-13
14.337525,1.6044378824652e-13
14.4809,1.48284433777041e-13
14.624275,1.5220642671578998e-13
14.767651,1.49047373293291e-13
14.911026,1.41811367336542e-13
15.054401,1.4637709176267699e-13
15.197776,1.45661830036961e-13
15.341151,1.48081782838476e-13
15.484525,1.33430958881679e-13
