gate Voltage (V),drain Current (A)
5.00186443328857,3.44727277479251e-06
4.90192174911499,2.67929431174707e-06
4.80197191238403,2.36679420595465e-06
4.70169067382813,2.09686754715221e-06
4.60177659988403,1.86395641321724e-06
4.50154542922974,1.64660684731643e-06
4.40167188644409,1.43193483381765e-06
4.30140495300293,1.26251927667909e-06
4.20151472091675,1.09915731627552e-06
4.10161018371582,9.64940340963949e-07
4.00136709213257,8.42173335513507e-07
3.9014744758606,7.15200314971298e-07
3.80124807357788,6.20286357388977e-07
3.70132207870483,5.33132322289021e-07
3.60142707824707,4.56509837931662e-07
3.50120782852173,3.930162222332e-07
3.40121984481812,3.35902086590067e-07
3.30100297927856,2.85031319435802e-07
3.2011079788208,2.41939318357254e-07
3.10089111328125,2.02373740876283e-07
3.00092458724976,1.67172188980658e-07
2.90102005004883,1.40876167620263e-07
2.80079364776611,1.17142796796088e-07
2.70086765289307,9.83816548227878e-08
2.60066032409668,7.97272932118176e-08
2.50074863433838,6.42235988834727e-08
2.40076541900635,5.14413365237942e-08
2.30057954788208,4.38768985588922e-08
2.20073461532593,3.49517712550096e-08
2.10038900375366,2.70283351255785e-08
2.00075793266296,2.09028367947894e-08
1.90072703361511,1.5232814121191e-08
1.80069875717163,1.07772351043423e-08
1.7006733417511,8.27863200214551e-09
1.60063910484314,5.51141621230045e-09
1.50061798095703,3.7822864840109105e-09
1.40058469772339,2.8615092517725303e-09
1.30051302909851,1.7107081307088401e-09
1.20047998428345,1.12070563940136e-09
1.10044741630554,7.09786618369179e-10
1.00041151046753,6.01816041445602e-10
0.900372743606567,4.1584014009998803e-10
0.800328731536865,2.70299893578851e-10
0.700286149978638,1.48164619462321e-10
0.600208520889282,1.06569288116365e-10
0.500176668167114,4.6169221223912897e-11
0.400137424468994,4.3461335225147796e-11
0.300086498260498,4.02294413059945e-11
0.200092419981956,4.5652627511660894e-11
0.100054197013378,6.2074914652932e-11
5.17368334840285e-06,9.074355156180049e-11
-0.100090265274048,5.652761245200639e-11
-0.200125202536583,5.1052214539160097e-11
-0.300219058990479,7.582776767600659e-11
-0.400264978408813,8.503460435793639e-11
-0.50029444694519,1.23385066053139e-10
-0.600361108779907,2.20748058721298e-10
-0.700393676757813,3.65143776326349e-10
-0.800464630126953,5.37371369624395e-10
-0.90049409866333,7.32065075226274e-10
-1.00052118301392,9.47978251453208e-10
-1.10058522224426,6.96541047062738e-10
-1.20061802864075,1.13742704144215e-09
-1.30067729949951,1.5586268942158201e-09
-1.40070223808289,1.94262628205877e-09
-1.50072693824768,2.30137353618431e-09
-1.6007821559906,2.64861821364093e-09
-1.70079922676086,2.9928994838002204e-09
-1.80085778236389,3.4008573734922704e-09
-1.90088486671448,3.84018639110195e-09
-2.00090599060059,4.24012913669003e-09
-2.10160255432129,4.77609019000624e-09
-2.20155954360962,5.334835240233821e-09
-2.30176687240601,5.902917266098481e-09
-2.40167856216431,6.55135767857473e-09
-2.50193119049072,7.1345365171282505e-09
-2.60181903839111,7.7556059352446e-09
-2.70172119140625,8.590658850948781e-09
-2.80196189880371,9.441715853597542e-09
-2.90184259414673,5.22185583662349e-09
-3.00200462341309,4.4589958392293705e-09
-3.10195207595825,7.071038421457841e-09
-3.20218324661255,9.377949083955171e-09
-3.30207824707031,6.312585121293071e-09
-3.40231418609619,5.5832027889835e-09
-3.50227832794189,8.9237559564026e-09
-3.602135181427,6.84757228697208e-09
-3.70240688323975,1.05864286226165e-08
-3.80235433578491,1.37932421040432e-08
-3.90258312225342,1.69971343666475e-08
-4.00248289108276,1.95944664937997e-08
-4.1027045249939,2.19239115750725e-08
-4.2026162147522,2.38590480705625e-08
-4.30281639099121,2.60175472277524e-08
-4.40277576446533,2.79967427019301e-08
-4.50268268585205,3.01433438210097e-08
-4.6028733253479,3.24968212339627e-08
-4.70275640487671,3.42202888248266e-08
-4.80305194854736,3.67840655712826e-08
-4.90293264389038,2.78346785620442e-08
-5.00316858291626,3.29457172654202e-08
-4.90288257598877,1.05506900993646e-08
-4.8029899597168,2.98022628797412e-09
-4.70273494720459,1.0420119211929101e-09
-4.60284948348999,4.57748394744328e-10
-4.50265169143677,3.30171806561808e-10
-4.40272808074951,1.69348826628557e-10
-4.30274486541748,2.9159917536159e-11
-4.20256853103638,1.88209656193372e-11
-4.10266160964966,7.88695844744502e-12
-4.00242805480957,2.2303582591920397e-12
-3.90253067016602,5.03659234544346e-13
-3.80230665206909,1.42892598795075e-12
-3.70235443115234,4.65278640268685e-12
-3.60212087631226,1.1294638835313001e-11
-3.50221395492554,2.23738319538036e-11
-3.40228319168091,3.85732071284117e-11
-3.30206632614136,6.19077844543625e-11
-3.20218801498413,9.55637929900277e-11
-3.10195207595825,1.60852303698888e-10
-3.00200700759888,1.90148591316941e-10
-2.90181398391724,2.8286920028541803e-10
-2.80191659927368,4.41047059984712e-10
-2.70167112350464,6.56178555935583e-10
-2.60184764862061,9.28294996427326e-10
-2.50194311141968,1.18801113391243e-09
-2.40169763565063,1.68730496241665e-09
-2.30180025100708,2.2403539023940803e-09
-2.20156192779541,2.8832327636507704e-09
-2.1015739440918,3.3325242565496203e-09
-2.00090074539185,4.0631915609878905e-09
-1.90088152885437,4.81560125109581e-09
-1.8008599281311,6.2181899629365506e-09
-1.7008044719696,8.68668337261624e-09
-1.60078310966492,9.60110480008325e-09
-1.50072288513184,1.27254251580666e-08
-1.40069389343262,1.70496949891685e-08
-1.30066990852356,2.14192397152146e-08
-1.20060610771179,2.74299978286763e-08
-1.10058164596558,3.12957659787116e-08
-1.00052165985107,3.81326081821953e-08
-0.900489807128906,4.73695287439568e-08
-0.800457000732422,5.66532492030092e-08
-0.70038628578186,6.85781387232964e-08
-0.600352764129639,7.81438700414583e-08
-0.500285863876343,8.97233860541746e-08
-0.400254964828491,9.37583450877355e-08
-0.300212621688843,1.08806851528698e-07
-0.20011468231678,1.21124628549296e-07
-0.100077107548714,1.38822912276737e-07
5.86509713684791e-06,1.55189155748303e-07
0.100052356719971,1.7670608087883e-07
0.2000902146101,1.97204826690722e-07
0.300081968307495,2.18868251522508e-07
0.400132417678833,2.43997561710785e-07
0.50017523765564,2.64330395793877e-07
0.600214719772339,2.91395053864107e-07
0.700291156768799,3.18663012421894e-07
0.800330638885498,3.4820581618078e-07
0.900365829467773,3.8084911579972e-07
1.00040555000305,4.20597302763781e-07
1.10043859481812,4.5656335601052e-07
1.20047426223755,4.95347990181472e-07
1.30050778388977,5.36507116066787e-07
1.40057563781738,5.83116161578801e-07
1.50060749053955,6.25092866357591e-07
1.60064148902893,6.77478794841591e-07
1.70066618919373,7.31518241536833e-07
1.80068945884705,7.87461260642885e-07
1.90072464942932,8.39924098272604e-07
2.00075244903564,9.04562114101282e-07
2.1003246307373,9.69440066000971e-07
2.20057487487793,9.76295496002422e-07
2.30049848556519,1.05812068795785e-06
2.40072727203369,1.14884016966244e-06
2.50067949295044,1.22097014809697e-06
2.60058403015137,1.30044452362199e-06
2.70079612731934,1.39833923640253e-06
2.80071020126343,1.46649233556673e-06
2.9009485244751,1.53692951698758e-06
3.00087213516235,1.61092634698434e-06
3.10085296630859,1.69051168086298e-06
3.2010817527771,1.76824084974214e-06
3.30100536346436,1.85192584467586e-06
3.40123414993286,1.93095570466539e-06
3.50121021270752,1.99988608073909e-06
3.6014461517334,2.07416405828553e-06
3.70131731033325,2.15073828258028e-06
3.80123376846313,2.22260587179335e-06
3.90146493911743,2.30535988521297e-06
4.00137186050415,2.37681274484203e-06
4.1015887260437,2.44275202021527e-06
4.20151233673096,2.51798633144062e-06
4.30136680603027,2.56096723205701e-06
4.40166711807251,2.62632715930522e-06
4.50161695480347,2.68756730292807e-06
4.60184812545776,2.62847424892243e-06
4.70175981521606,2.70482655650994e-06
4.80201482772827,2.76360265161202e-06
4.90190982818604,2.84180623566499e-06
5.0018572807312,2.89304853140493e-06
