drain Time (s),drain Current (A)
0.0,1.05597017241443e-10
0.143376,1.05961912855168e-10
0.286751,1.06180071679507e-10
0.430125,1.0700046404466001e-10
0.5735,1.0854863535803e-10
0.716875,1.09272001169725e-10
0.86025,1.10055325963643e-10
1.003626,1.09897251021618e-10
1.147001,1.10330460045827e-10
1.290376,1.10368131300831e-10
1.433751,1.10277169340645e-10
1.577126,1.10610007264533e-10
1.720501,1.0964273933211601e-10
1.863876,1.08907695361982e-10
2.007251,1.08869427362102e-10
2.150626,1.09572524664703e-10
2.294001,1.1008381706201201e-10
2.437376,1.1064016369744001e-10
2.580752,1.1105310421255501e-10
2.724127,1.11009472447687e-10
2.867502,1.1020469259381801e-10
3.010877,1.09535214232181e-10
3.154252,1.09877343335008e-10
3.297627,1.10233780437063e-10
3.441002,1.1012124545573e-10
3.584378,1.09432810035948e-10
3.727753,1.09695315331226e-10
3.871128,1.09281063365163e-10
4.014503,1.09136699677492e-10
4.157878,1.09500644662752e-10
4.301253,1.11406203706643e-10
4.444628,1.12423299836184e-10
4.588003,1.1356138945872701e-10
4.731379,1.13339539142832e-10
4.874754,1.13626712205939e-10
5.018129,1.1395084875687201e-10
5.161504,1.14410279861143e-10
5.304878,1.14908575710171e-10
5.448254,1.14173649701232e-10
5.591629,1.14601730882846e-10
5.735005,1.13855952443842e-10
5.878381,1.13970034798516e-10
6.021756,1.12969036902832e-10
6.165132,1.1271476113572401e-10
6.308507,1.13273619650744e-10
6.451882,1.12685798192569e-10
6.595257,1.11968392890738e-10
6.738632,1.12114185990553e-10
6.882007,1.12469429602857e-10
7.025382,1.12935417961868e-10
7.168757,1.13172526905458e-10
7.312133,1.1291837603844002e-10
7.455508,1.12516995720569e-10
7.598883,1.12826345488592e-10
7.742258,1.13781567501192e-10
7.885633,1.14115591975938e-10
8.029008,1.14853258847969e-10
8.172383,1.15104668851895e-10
8.315758,1.1509954794819401e-10
8.459134,1.15176437831543e-10
8.602509,1.1577140635044e-10
8.745885,1.1486875339805601e-10
8.88926,1.13847369032083e-10
9.032635,1.1311506592504002e-10
9.17601,1.1356961204800301e-10
9.319385,1.14285941821279e-10
9.46276,1.13795632639135e-10
9.606135,1.15295883951205e-10
9.74951,1.156388457213e-10
9.892885,1.1751401240989201e-10
10.03626,1.17685430844894e-10
10.179636,1.16396184357548e-10
10.323011,1.16151331608361e-10
10.466386,1.1504685398788801e-10
10.609761,1.14490979197246e-10
10.753136,1.1474430433589001e-10
10.896511,1.13597152517908e-10
11.039886,1.13270517965169e-10
11.183261,1.1410868083761001e-10
11.326636,1.15017294299857e-10
11.470011,1.15511177012362e-10
11.613386,1.161074639211e-10
11.756761,1.16151928353236e-10
11.900137,1.16718287812567e-10
12.043512,1.1702608326835701e-10
12.186888,1.16747014833329e-10
12.330263,1.16598841692905e-10
12.473638,1.15813129919484e-10
12.617013,1.15628118191324e-10
12.760388,1.14920135907415e-10
12.903764,1.15016579593785e-10
13.04714,1.16191861687653e-10
13.190515,1.15206476303253e-10
13.33389,1.14950417240411e-10
13.477265,1.15857837212907e-10
13.62064,1.1596023447024701e-10
13.764016,1.15713709447629e-10
13.907391,1.16678472439347e-10
14.050766,1.17436643742863e-10
14.194141,1.17720125314413e-10
14.337515,1.1746763284303801e-10
14.48089,1.17088200246585e-10
14.624265,1.17055892756568e-10
14.767641,1.1726522530786101e-10
14.911016,1.18087400968747e-10
15.054391,1.19059206937777e-10
15.197766,1.19015339250517e-10
15.341141,1.18534210225008e-10
15.484516,1.1761784601827e-10
15.627891,1.17054699266816e-10
15.771266,1.16613024792045e-10
15.914641,1.1627614149301001e-10
16.058016,1.16116880000128e-10
16.201391,1.1795281418258701e-10
16.344767,1.18445753205521e-10
16.488142,1.19902254791526e-10
16.631517,1.20780233037188e-10
16.774892,1.21240850692317e-10
16.918268,1.20154372562631e-10
17.061642,1.19900575579202e-10
17.205017,1.1889433881862002e-10
17.348392,1.18303658536156e-10
17.491767,1.19190921021861e-10
17.635142,1.19785903418546e-10
17.778518,1.2065648480330501e-10
17.921893,1.20715132334581e-10
18.065269,1.20383383817035e-10
18.208644,1.20140786208367e-10
18.352019,1.20997906138953e-10
18.495394,1.22112625566828e-10
18.638769,1.20723722685234e-10
18.782144,1.20173565543169e-10
18.925519,1.20170831618971e-10
19.068894,1.21503224148611e-10
19.212269,1.20185250640503e-10
19.355644,1.19480966787044e-10
19.49902,1.17968079749176e-10
19.642395,1.17822168688164e-10
19.78577,1.18659013170763e-10
19.929145,1.18740794974315e-10
20.07252,1.19035600820716e-10
20.849685,1.24908569598681e-10
20.99306,1.23487345349282e-10
21.770203,1.22134441449262e-10
21.913578,1.22712132122338e-10
22.056953,1.24356386299596e-10
22.200328,1.25231505720969e-10
22.343703,1.25112531446092e-10
22.487078,1.21613136228049e-10
22.630453,1.19262696940403e-10
22.773829,1.18680232308321e-10
22.917204,1.2275779004422601e-10
23.060579,1.2362574852709e-10
23.203954,1.23186461031821e-10
23.347329,1.2137579830096001e-10
23.490704,1.1916946596191002e-10
23.634079,1.18478768462715e-10
23.777454,1.17357609741298e-10
23.92083,1.17213488914913e-10
24.064205,1.18489981715264e-10
24.20758,1.19810217302785e-10
24.350956,1.20061627306711e-10
24.494331,1.19491097572144e-10
24.637706,1.19131329801014e-10
24.781082,1.20159979188905e-10
24.924457,1.20441198681043e-10
25.067832,1.19744061888305e-10
25.211207,1.18551488070828e-10
25.354582,1.17183804326793e-10
25.497957,1.16915935266526e-10
25.641332,1.1674093636227e-10
25.784707,1.17200846250221e-10
25.928082,1.17171647384673e-10
26.071457,1.16465448396497e-10
26.214832,1.1582517583930101e-10
26.358207,1.1565744889585601e-10
26.501583,1.1621689721685901e-10
26.644958,1.15940805567316e-10
26.788333,1.16333005728553e-10
26.931708,1.15981217685412e-10
27.075083,1.15841745917944e-10
27.218458,1.15106459086523e-10
27.361833,1.1518561798817801e-10
27.505208,1.1508786285086001e-10
27.648583,1.15378970266811e-10
27.791959,1.15026349556402e-10
27.935334,1.1441564362613101e-10
28.078709,1.1398219867953e-10
28.222085,1.14809391160708e-10
28.36546,1.15003936929092e-10
28.508835,1.16380093062585e-10
28.65221,1.16898296598222e-10
28.795586,1.15333909089799e-10
28.938962,1.13914010169136e-10
29.082337,1.14761110336925e-10
29.859628,1.15652203092065e-10
30.636666,1.14212153623505e-10
30.780041,1.14355205860228e-10
30.923416,1.14335534096011e-10
31.066791,1.14338274959103e-10
31.210166,1.14031548092974e-10
31.353541,1.14090084601948e-10
31.496916,1.14479419000002e-10
31.640291,1.1456095794226701e-10
31.783666,1.15057942340346e-10
31.927041,1.14819764807095e-10
32.070416,1.14731071865215e-10
32.213792,1.1440980107746401e-10
32.357168,1.14194986799987e-10
32.500543,1.1437165103878002e-10
32.643918,1.1463880539297501e-10
32.787293,1.15414261481206e-10
32.930668,1.16035098196576e-10
33.074043,1.1582576564528301e-10
33.217419,1.15720627524851e-10
33.360794,1.14941237083777e-10
33.50417,1.14642614845728e-10
33.647545,1.14218828839441e-10
33.790921,1.1291825113835e-10
33.934296,1.1234282948358e-10
34.077671,1.1236500618849701e-10
34.221046,1.14250657545778e-10
34.364421,1.14188665467641e-10
34.507796,1.13242387689283e-10
34.651171,1.13562818870871e-10
34.794546,1.14357349978444e-10
34.937922,1.14255070682301e-10
