drain Time (s),drain Current (A)
0.0,3.24576615584604e-10
0.321873,3.27699062330211e-10
0.465248,3.31753846616323e-10
0.608623,3.34856503636516e-10
0.751998,3.37686295592832e-10
0.895373,3.43296391314141e-10
1.038748,3.4833394502165003e-10
1.182124,3.50031836848785e-10
1.325499,3.48555184714883e-10
1.468874,3.45442868754375e-10
1.612249,3.46069811696381e-10
1.755624,3.48206158351516e-10
1.898999,3.51275064591761e-10
2.042374,3.501474665768e-10
2.185749,3.50429990580992e-10
2.329124,3.48880035971888e-10
2.4725,3.51333739878612e-10
2.615876,3.52405049586224e-10
2.759251,3.51461637571049e-10
2.902626,3.52888468446722e-10
3.046001,3.55390550321744e-10
3.189376,3.52331497310843e-10
3.332751,3.55302787191647e-10
3.476126,3.5831415612364005e-10
3.619501,3.56823903757686e-10
3.762877,3.60219937212136e-10
3.906251,3.61727453546123e-10
4.049626,3.61362217926597e-10
4.193002,3.58495094721079e-10
4.336378,3.58991364413086e-10
4.479753,3.57625346003587e-10
4.623129,3.56433854653559e-10
4.766504,3.54263784974052e-10
4.909879,3.53142126652273e-10
5.053254,3.49282019973529e-10
5.196629,3.49347939465616e-10
5.340004,3.49896528417659e-10
5.48338,3.50709794538773e-10
5.626755,3.51281642663182e-10
5.77013,3.53672258146531e-10
5.913505,3.5815655996529503e-10
6.05688,3.60321272818709e-10
6.200255,3.60929008902389e-10
6.34363,3.58492957541756e-10
6.487005,3.57137069917357e-10
6.63038,3.5597311209834004e-10
6.773755,3.5635566719705005e-10
6.91713,3.57889273772116e-10
7.060505,3.58554103074837e-10
7.20388,3.5935807107812004e-10
7.347256,3.59131918648004e-10
7.490631,3.59097113156182e-10
7.634006,3.57958662711155e-10
7.777381,3.58668678090979e-10
7.920756,3.59967333718458e-10
8.064131,3.60571128510401e-10
8.207506,3.5971234324527803e-10
8.350881,3.60638380270117e-10
8.494256,3.62702590184227e-10
8.637632,3.6187516871955004e-10
8.781007,3.64700075694557e-10
8.924382,3.63999608232746e-10
9.067758,3.6231767586159e-10
9.211133,3.65102642563286e-10
9.354508,3.647065149881e-10
9.497883,3.63297558703124e-10
9.641258,3.66126878814654e-10
9.784634,3.65784402767133e-10
9.928009,3.65744212693642e-10
10.071384,3.66271596385914e-10
10.214759,3.65613567199219e-10
10.358134,3.67270686085774e-10
10.501509,3.70839470242856e-10
10.644884,3.72351649513547e-10
10.788259,3.72121444769391e-10
10.931634,3.67778640875116e-10
11.075009,3.66464608658745e-10
11.218384,3.66325858536243e-10
11.36176,3.66490837677702e-10
11.505134,3.66768226900405e-10
11.648509,3.67086638863867e-10
11.791884,3.63935936942283e-10
11.935259,3.61070257026697e-10
12.078634,3.6463260189023603e-10
12.222009,3.64751201464841e-10
12.365384,3.63494512267692e-10
12.508759,3.59731772148209e-10
12.652134,3.5935807107812004e-10
12.795509,3.61231322631994e-10
12.938884,3.6088906862907803e-10
